지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유,LPG
광주광역시,어등산주유소,광주 광산구 무진대로 68,HD현대오일뱅크,062-941-2700,Y,-,1599,1515,-,-
광주광역시,산월Self주유소,광주 광산구 북문대로 579,HD현대오일뱅크,062-956-5150,Y,-,1617,1477,-,-
광주광역시,한성골드주유소,광주 광산구 동곡로 407 (월전동),GS칼텍스,062-944-9400,Y,-,1625,1479,1400,-
광주광역시,송정현대주유소,광주 광산구 송도로 104 (도산동),HD현대오일뱅크,062-945-5182,N,-,1626,1519,-,-
광주광역시,삼도주유소,광주 광산구 삼도로 327,SK에너지,062-944-2153,N,-,1629,1489,1300,-
광주광역시,웰컴신가주유소,광주 광산구 목련로 375 (신가동),GS칼텍스,062-959-6800,Y,1785,1629,1485,-,-
광주광역시,SK시민주유소,광주 광산구 고봉로 249 (장수동),SK에너지,062-956-5185,Y,-,1629,1489,1350,-
광주광역시,에스주유소,광주 광산구 노안삼도로 983,SK에너지,062-943-6651,N,-,1629,1519,-,-
광주광역시,순양주유소,광주 광산구 어등대로 667,S-OIL,062-941-5121,Y,-,1638,1498,-,-
광주광역시,천지주유소,광주 광산구 영광로 3270  (삼거동),SK에너지,062-944-4488,N,-,1639,1559,1250,-
광주광역시,(주)스마일셀프주유소,광주 광산구 고봉로 541 (산막동),SK에너지,062-716-5182,Y,-,1639,1499,-,-
광주광역시,우공주유소,광주 광산구 영광로 3492,HD현대오일뱅크,062-943-5125,N,-,1649,1509,1600,-
광주광역시,남선석유(주) 평동그린주유소,광주 광산구 동곡로 645,S-OIL,062-945-5121,Y,1869,1652,1497,-,-
광주광역시,해피주유소,광주 광산구 건재로 761,S-OIL,062-943-0227,N,-,1657,1497,-,-
광주광역시,대천주유소,광주 광산구 용진로 599,S-OIL,062-944-7171,N,-,1659,1519,-,-
광주광역시,장덕셀프주유소,광주 광산구 왕버들로 59,HD현대오일뱅크,062-951-5121,Y,1899,1659,1529,-,-
광주광역시,진영주유소,광주 광산구 송도로 292 (송정동),SK에너지,062-942-5189,N,-,1659,1529,-,-
광주광역시,이칠주유소,광주 광산구 상무대로 378,SK에너지,062-942-2007,Y,-,1669,1539,1300,-
광주광역시,전송주유소,광주 광산구 어등대로 583,SK에너지,062-941-4466,Y,-,1679,1519,1500,-
광주광역시,송촌주유소,광주 광산구 동곡로 656,자가상표,062-944-5188,N,-,1699,1539,-,-
광주광역시,삼거리주유소,광주 남구 서문대로 781,HD현대오일뱅크,062-654-5151,Y,1879,1619,1489,-,-
광주광역시,행복가득효천주유소,광주 남구 서문대로 37 (이장동),SK에너지,062-716-1666,Y,-,1625,1485,-,-
광주광역시,새론주유소,광주 남구 대남대로 347,S-OIL,062-362-5151,Y,-,1645,1525,-,-
광주광역시,화력주유소,광주 남구 회재로 338,GS칼텍스,062-373-8262,N,-,1649,1529,1400,-
광주광역시,대촌주유소,광주 남구 고싸움로 169,S-OIL,062-374-6565,Y,-,1649,1519,-,-
광주광역시,대남로주유소,광주 남구  대남대로 399,SK에너지,062-362-5145,Y,-,1665,1525,-,-
광주광역시,양촌주유소,광주 남구 포충로 121 (양촌동),SK에너지,062-374-3389,N,-,1759,1569,1400,-
광주광역시,차나라주유소,광주 북구 동문대로 138,HD현대오일뱅크,062-265-1144,Y,1935,1625,1485,-,-
광주광역시,용전IC주유소,광주 북구 우치로 842 (용전동),GS칼텍스,062-574-5224,Y,-,1625,1495,-,-
광주광역시,북광주IC주유소,광주 북구 하서로 678 (지야동),HD현대오일뱅크,062-572-9800,Y,-,1639,1519,-,-
광주광역시,빛고을로셀프주유소,광주 북구 빛고을대로 657 (용두동),HD현대오일뱅크,062-574-3303,Y,-,1639,1515,-,-
광주광역시,서림주유소,광주 북구 무등로 126 (신안동),GS칼텍스,062-522-5189,Y,-,1645,1525,1500,-
광주광역시,용전주유소,광주 북구 우치로 809,S-OIL,062-576-5189,Y,-,1648,1518,-,-
광주광역시,(주)케이피유통(본촌주유소),광주 북구 하서로 530 (본촌동),GS칼텍스,062-572-1600,Y,-,1649,1509,-,-
광주광역시,매곡주유소,광주 북구 서하로 86 (매곡동),HD현대오일뱅크,062-576-9393,N,-,1655,1525,-,-
광주광역시,도동재주유소,광주 북구 동문대로 410,S-OIL,062-251-8536,N,-,1668,1548,-,-
광주광역시,코끼리주유소,광주 북구 서하로 77,SK에너지,062-573-1256,N,-,1668,1538,-,-
광주광역시,지산주유소,광주 북구 양산택지로 157,S-OIL,062-571-7012,N,-,1669,1519,-,-
광주광역시,세본주유소,광주 북구 용주로 21,SK에너지,062-526-5818,Y,-,1689,1559,1500,-
광주광역시,두암주유소,광주 북구 군왕로 103 (두암동),S-OIL,062-266-7766,Y,-,1699,1589,-,-
광주광역시,벽진주유소,광주 서구 상무대로 616,알뜰주유소,062-945-5118,Y,-,1622,1482,-,-
광주광역시,운천주유소,광주 서구 상무대로 758,HD현대오일뱅크,062-383-5182,Y,-,1638,1498,-,-
광주광역시,대광주유소,광주 서구 하남대로 556 (동천동),GS칼텍스,062-512-0022,Y,-,1639,1519,1600,-
광주광역시,시민주유소,광주 서구 눌재로 328,GS칼텍스,062-374-5189,Y,-,1648,1528,1500,-
광주광역시,풍암대림주유소,광주 서구 풍서좌로 83 (매월동),S-OIL,062-655-2211,N,-,1675,1564,-,-
광주광역시,매월유통단지주유소,광주 서구 회재로 746 (매월동),HD현대오일뱅크,062-374-5188,N,-,1679,1567,1500,-
광주광역시,가람주유소,광주 서구 상무대로1206번길 3 (농성동),S-OIL,062-365-5189,Y,-,1695,1565,-,-
광주광역시,상록주유소,광주 서구 상무대로 1180,HD현대오일뱅크,062-385-5184,N,1925,1695,1565,1500,-
광주광역시,컨벤션주유소,광주 서구 상무대로 714,S-OIL,062-382-5188,N,-,1728,1598,-,-
광주광역시,수완LPG충전소,광주 광산구 사암로 668 (장덕동),HD현대오일뱅크,062-571-8600,N,-,-,-,-,1044
광주광역시,대성가스(주)지평선충전소,광주광역시 광산구 영광로3777,E1,062-571-9997,N,-,-,-,-,1060
광주광역시,디오충전소,광주 북구 빛고을대로 656 (용두동),HD현대오일뱅크,062-573-0093,N,-,-,-,-,1041
광주광역시,미래LPG충전소,광주 북구 임방울대로 983 (신용동),SK가스,062-574-5700,N,-,-,-,-,1044
광주광역시,패밀리LPG충전소,광주 북구 우치로 654,S-OIL,062-513-3824,N,-,-,-,-,1044
